"","pageTitle","pagePath","pageviews"
"121","Professor Nancy Gish writes article for Portland Press Herald | Department of English | University of Southern Maine","/eng/professor-nancy-gish-writes-article-portland-press-herald",4
"122","(not set)","/eng/ba-english-teacher-education-7-12-certification-track",3
"123","Access denied | University of Southern Maine","/eng/2018-obrien-poetry-event",3
"124","Access denied | University of Southern Maine","/eng/aesthetic-afterlives-slavery",3
"125","Access denied | University of Southern Maine","/eng/dianne-benedict",3
"126","Fall 2020 Course Guide | Department of English | University of Southern Maine","/eng/fall-2020-course-guide-0",3
"127","Guidelines for Final Report | Department of English | University of Southern Maine","/eng/guidelines-final-report",3
"128","Page Not Found | University of Southern Maine","/eng/lorenzetti allegor1.jpe",3
"129","Access denied | University of Southern Maine","/eng/aesthetic-afterlives-slavery?fbclid=IwAR0_lmmcO1nWUDdHFX2D0i5Ol8CZmnBqzCZnDlWdF20tJb_3ILAN3LAKgyE",2
"130","BA in English | Department of English | University of Southern Maine","/eng/ba-english/",2
"131","Betsy Sholl published book of poems | Department of English | University of Southern Maine","/eng/betsy-sholl-published-book-poems",2
"132","Nicholas Wilson | Department of English | University of Southern Maine","/eng/nicholas-wilson",2
"133","Page Not Found | University of Southern Maine","/eng/ywvzdghldg",2
"134","Page Not Found | University of Southern Maine","/sites/default/files/eng/ABRAMS CV 2-26-15.pdf",2
"135","Page Not Found | University of Southern Maine","/sites/default/files/eng/fall 2020 course guide.pdf",2
"136","Page Not Found | University of Southern Maine","/sites/default/files/eng/Fall 2020 Course Guide_0.pdf",2
"137","(not set)","/eng/ba-english-teacher-education-k-8-certification-track",1
"138","(not set)","/eng/independent-study",1
"139","<U+0C07><U+0C02><U+0C17><U+0C4D><U+0C32><U+0C40><U+0C37><U+0C41><U+0C32><U+0C4B> <U+0C2C><U+0C3F><U+0C0E> - <U+0C38><U+0C46><U+0C15><U+0C02><U+0C21><U+0C30><U+0C40> <U+0C1F><U+0C40><U+0C1A><U+0C30><U+0C4D> <U+0C0E><U+0C21><U+0C4D><U+0C2F><U+0C41><U+0C15><U+0C47><U+0C37><U+0C28><U+0C4D> | <U+0C07><U+0C02><U+0C17><U+0C4D><U+0C32><U+0C40><U+0C37><U+0C4D> <U+0C35><U+0C3F><U+0C2D><U+0C3E><U+0C17><U+0C02> | <U+0C2F><U+0C42><U+0C28><U+0C3F><U+0C35><U+0C30><U+0C4D><U+0C36><U+0C3F><U+0C1F><U+0C40> <U+0C06><U+0C2B><U+0C4D> <U+0C38><U+0C26><U+0C30><U+0C28><U+0C4D> <U+0C2E><U+0C48><U+0C28><U+0C47>","/translate_c?depth=1&hl=te&nv=1&prev=search&rurl=translate.google.com&sl=en&sp=nmt4&u=https://usm.maine.edu/eng/ba-english-teacher-education-7-12-certification-track&usg=ALkJrhiRtMBxnJtxT4dKbmP4R9OgG0VNpA",1
"140","<U+0D07><U+0D02><U+0D17><U+0D4D><U+0D32><U+0D40><U+0D37><U+0D3F><U+0D7D> <U+0D2C><U+0D3F>.<U+0D0E> - <U+0D38><U+0D46><U+0D15><U+0D4D><U+0D15><U+0D7B><U+0D21><U+0D31><U+0D3F> <U+0D05><U+0D27><U+0D4D><U+0D2F><U+0D3E><U+0D2A><U+0D15> <U+0D35><U+0D3F><U+0D26><U+0D4D><U+0D2F><U+0D3E><U+0D2D><U+0D4D><U+0D2F><U+0D3E><U+0D38><U+0D02> | <U+0D07><U+0D02><U+0D17><U+0D4D><U+0D32><U+0D40><U+0D37><U+0D4D> <U+0D35><U+0D15><U+0D41><U+0D2A><U+0D4D><U+0D2A><U+0D4D> | <U+0D38><U+0D24><U+0D47><U+0D7A> <U+0D2E><U+0D46><U+0D2F><U+0D4D><U+0D7B> <U+0D38><U+0D7C><U+0D35><U+0D15><U+0D32><U+0D3E><U+0D36><U+0D3E><U+0D32>","/eng/ba-english-teacher-education-7-12-certification-track",1
"141","<U+0E2A><U+0E34><U+0E48><U+0E07><U+0E17><U+0E35><U+0E48><U+0E04><U+0E32><U+0E14><U+0E2B><U+0E27><U+0E31><U+0E07><U+0E08><U+0E32><U+0E01><U+0E01><U+0E32><U+0E23><U+0E40><U+0E02><U+0E35><U+0E22><U+0E19><U+0E02><U+0E2D><U+0E07><U+0E27><U+0E34><U+0E17><U+0E22><U+0E32><U+0E25><U+0E31><U+0E22> | <U+0E20><U+0E32><U+0E04><U+0E27><U+0E34><U+0E0A><U+0E32><U+0E20><U+0E32><U+0E29><U+0E32><U+0E2D><U+0E31><U+0E07><U+0E01><U+0E24><U+0E29> | <U+0E21><U+0E2B><U+0E32><U+0E27><U+0E34><U+0E17><U+0E22><U+0E32><U+0E25><U+0E31><U+0E22><U+0E40><U+0E0B><U+0E32><U+0E40><U+0E17><U+0E34><U+0E23><U+0E4C><U+0E19><U+0E40><U+0E21><U+0E19>","/eng/what-expect-english-100c-college-writing",1
"142","<U+200B><U+FEFF><U+200B>Minor in Public and Professional Writing | Department of English | University of Southern Maine","/eng/minor-public-and-professional-writing",1
"143","<U+200B><U+FEFF><U+FEFF>Minor in Creative Writing | Department of English | University of Southern Maine","/eng/minor-writing",1
"144","<U+5609><U+8389>kancilia |<U+82F1><U+8BED><U+7CFB>|<U+7F05><U+56E0><U+5DDE><U+5357><U+90E8><U+5927><U+5B66>","/eng/carrie-kancilia",1
"145","<U+7EA6><U+7FF0>(<U+6770><U+514B>)chebowicz |<U+82F1><U+8BED><U+7CFB>|<U+6FB3><U+95E8><U+8461><U+4EAC><U+5B98><U+7F51><U+767B><U+5F55>","/eng/john-jack-chebowicz",1
"146","2019 Scholarship Winners | Department of English | University of Southern Maine","/eng/2019-scholarship-winners?fbclid=IwAR0xgfeQqdT9lm71KHDyN8PZ_mwftjwR6k4dSx6vAfbyyTVrbS3Zym0VW60",1
"147","Access denied | University of Southern Maine","/eng/aesthetic-afterlives-slavery?fbclid=IwAR046Qvaw1_biWZ3TIGrjj-Lscl3TnMw3HXGhBXtWTrcGNN_5CZOhtpX8dA",1
"148","Access denied | University of Southern Maine","/eng/aesthetic-afterlives-slavery?fbclid=IwAR0BCy8R-5r3L1gh7EqK5X69h_5gvzVQpzJ-V550YpT4GZyVjMaEg5Q3Gv4",1
"149","Access denied | University of Southern Maine","/eng/drones-weapons-war-or-tools-entertainment",1
